1;Acces au fichier;;;;;
2;Accès autorisé par;;;;;
3;Accès restreint;;;;;
4;Acteur;;;;;
5;Acteur Social;;;;;
6;Action;;;;;
7;Action interdite.;;;;;
8;Adresse;;;;;
9;Adresse mail;;;;;
10;Adresse mail incorrecte;;;;;
11;Adresse postale;;;;;
12;Affectation;;;;;
13;Affectation existante!;;;;;
14;Aide;;;;;
15;Ajout;;;;;
16;Ajout RDV le;;;;;
17;Ajout Référent;;;;;
18;Ajouter;;;;;
19;Ajouter au dossier vos coordonnées ?;;;;;
20;Alerte;;;;;
21;Ancien;;;;;
22;Anniv;;;;;
23;Annulation autorisation reception par mail;;;;;
24;Anomalie inconnue;;;;;
25;Après avoir cliqué sur le lien, vous aurez 5 jours pour la contacter en personne. Elle s'assurera de votre identité. ;;;;;
26;attendez que le delais initial soit écoulé pour faire une nouvelle demande. ;;;;;
27;Attention, le fichier ne sera plus accessible dès que vous aurez quitté cette page: ;;;;;
28;Attention, tous les champs ne sont pas renseignés;;;;;
29;Attention, vous avez demandé la suppression de ;;;;;
30;Attention, vous avez demandé la suppression de la structure sociale suivante;;;;;
31;Attention, vous avez demandé la suppression de votre compte.;;;;;
32;Attention, vous avez demandé la suppression du référent de confiance suivant;;;;;
33;Attention, vous avez demandé la suppression du responsable ou de l'acteur social suivant;;;;;
34;Attention: Demande de recupération de mot de passe;;;;;
35;Au minimum 8 caractères;;;;;
36;Au minimum 8 caractères, au moins <br>une majuscule, une minuscule et un chiffre <br>(caractères spéciaux possible);;;;;
37;Au minimum 8 caractères, au moins <br>une majuscule,une minuscule et un chiffre <br>(caractères spéciaux possible);;;;;
38;Au minimum 8 caractères, au moins une majuscule, une minuscule et un chiffre (caractères spéciaux possible);;;;;
39;Au moins 8 caractères;;;;;
40;Autorisateur;;;;;
41;Autorisation d'accès au compte par ;;;;;
42;Autorisation reception par mail;;;;;
43;Autoriser;;;;;
44;Autoriser après controle d'identité;;;;;
45;Autoriser dépot par Mail (Aujourd'hu;;;;;
46;Basculement d'espace de;;;;;
47;Bénéficiaire;;;;;
48;Bénéficiaires;;;;;
49;Bonjour;;;;;
50;Bug enregistré;;;;;
51;ce lien;;;;;
52;Ce référent de confiance existe déjà.;;;;;
53;Changement code lecture;;;;;
54;Changement de Mot de passe;;;;;
55;Changement de Mot de passe: ancien MdP incorrect;;;;;
56;Chaque bénéficiaire de la formation a pour référent tous les acteurs socicaux de la formation;;;;;
57;Charger;;;;;
58;Cliquez ;;;;;
59;Cliquez ici quand vous avez terminé;;;;;
60;Cliquez sur;;;;;
61;Code;;;;;
62;Code à communiquer <u>après vérification identité;;;;;
63;Code de lecture;;;;;
64;Code déverrouillage;;;;;
65;Code Incorrect;;;;;
66;Collègues sur Doc-depot.com;;;;;
67;Commentaire;;;;;
68;Commentaire à introduire en 1ere page du dossier;;;;;
69;Compte;;;;;
70;Compte créé avec succès;;;;;
71;Compte déjà initialisé.;;;;;
72;Compte inactif;;;;;
73;Conditions d'utilisation;;;;;
74;Confirmation;;;;;
75;Confirmer la suppression;;;;;
76;Confirmez-vous la génération de l'export;;;;;
77;Confirmez-vous la suppression;;;;;
78;Connexion;;;;;
79;Constituer le dossier;;;;;
80;Constituer un dossier;;;;;
81;Contact;;;;;
82;Contacter cette personne, elle s'assurera de votre identité.;;;;;
83;correspondant à la personne que vous allez contacter pour vous aider à récupérer votre mot de passe. ;;;;;
84;Création;;;;;
85;Création compte Bénéficiaire;;;;;
86;Création de compte sur 'Doc-depot.com':;;;;;
87;Création du compte;;;;;
88;Création organisme;;;;;
89;Création utilisateur;;;;;
90;Date;;;;;
91;Date - Heure;;;;;
92;Date Autorisation;;;;;
93;Date de naissance;;;;;
94;Date demande;;;;;
95;Déconnexion;;;;;
96;Demande d'accès à traiter;;;;;
97;Demande d'accès au compte par;;;;;
98;Demande de recupération MdP;;;;;
99;Demande enregistrée.;;;;;
100;Demander code d'accès;;;;;
101;Demandeur;;;;;
102;Déposer ci-dessous les fichiers à charger;;;;;
103;Dépot de fichier unique;;;;;
104;Dépot par Glisser/Déposer (Drag&dro;;;;;
105;Depuis votre derniére connexion, il y a eu tentative de connexion à votre compte, merci de consulter votre;;;;;
106;Dernière connexion;;;;;
107;Description;;;;;
108;Description de;;;;;
109;Désolé compte protégé;;;;;
110;Destinataire;;;;;
111;Doc restreints;;;;;
112;Document à accès restreint;;;;;
113;Document NON protégé;;;;;
114;Document protégé;;;;;
115;Domiciliation;;;;;
116;Domiciliation postale;;;;;
117;Droit;;;;;
118;Echec Connexion;;;;;
119;Effacement code lecture;;;;;
120;Elle vous communiquera alors le code de déverouillage (mais elle ne connaitra pas votre mot de passe);;;;;
121;En attente d'autorisation d'accès par responsable;;;;;
122;en lecture;;;;;
123;En validant cette création, vous confirmez avoir pris connaissance des;;;;;
124;Enregistrer;;;;;
125;Envoi du SMS réalisé;;;;;
126;Envoi d'un Mail;;;;;
127;Envoi d'un SMS;;;;;
128;Envoi mail personnel à;;;;;
129;Envoi SMS personnel à;;;;;
130;Envoyer mail signé de;;;;;
131;Envoyer sms signé de ;;;;;
132;Erreur;;;;;
133;Erreur :pays d'origine n'est pas la France;;;;;
134;Espace partagé;;;;;
135;Espace personnel;;;;;
136;et compléter les informations manquantes.;;;;;
137;Etat;;;;;
138;Evénement;;;;;
139;Export des fichiers et données du compte;;;;;
140;faite (Mdp = ;;;;;
141;Filtre;;;;;
142;Fin d'autorisation de recupération par;;;;;
143;Finalisation compte;;;;;
144;Finaliser la création de votre compte;;;;;
145;fonction;;;;;
146;Fonction non accessible car le bénéficiaire ne dispose pas d'un n° de téléphone portable;;;;;
147;Format de date incorrect (doit être jj/mm/aaaa);;;;;
148;Format de mail incorrect;;;;;
149;Format de mail incorrect ou absent;;;;;
150;Format de téléphone incorrect;;;;;
151;Génération dossier:;;;;;
152;Génération du dossier;;;;;
153;Génération d'un fichier de sauvegarde (fonction export);;;;;
154;Historique;;;;;
155;ici;;;;;
156;Identifiant;;;;;
157;Identifiant déjà existant;;;;;
158;Identifiant incorrect.;;;;;
159;Identifiant ou mail inconnu;;;;;
160;Il est vivement recommandé de faire une sauvegarde de tous vos documents, photos et notes/sms en cliquant sur;;;;;
161;Il manque des informations pour enregistrer le rendez-vous.;;;;;
162;Impact;;;;;
163;Importance;;;;;
164;Important: Tous les  champs sont obligatoires et prennez soin de bien les orthographier et vérifier chaque champ car il n'est plus possible de les modifier. ;;;;;
165;Initialisation comptes de formation;;;;;
166;Initialisation MdP comptes de formation avec;;;;;
167;IP;;;;;
168;Justificatifs;;;;;
169;La Consigne Numérique Solidaire;;;;;
170;La date doit être dans le futur;;;;;
171;La structure sociale doit être renseignée.;;;;;
172;La veille soir;;;;;
173;Le mot de passe de ce compte n'est pas modifiable;;;;;
174;Le mot de passe doit être différent de l'identifiant.;;;;;
175;Le mot de passe est trop court (au moins 8 caractères);;;;;
176;Le mot de passe n'est pas assez complexe (utiliser des Majuscules, Chiffres, caractéres spéciaux);;;;;
177;Les 2 mots de passe ne sont pas identiques.;;;;;
178;Les conditions générales de 'doc-depot.com' ont changé, merci d'en prendre connaissance en cliquant;;;;;
179;Les informations communiquées ne permettent pas de retrouver votre identifiant;;;;;
180;Les informations communiquées ne permettent pas de traiter votre demande.;;;;;
181;Les réponses à ces questions vous seront demandées pour récupérer le mot de passe de votre compte, si vous l'avez perdu.;;;;;
182;libell;;;;;
183;L'identifiant est trop court (au moins 8 caractères);;;;;
184;lien;;;;;
185;Lien invalide.;;;;;
186;Lien pour reinitialisation mail envoyé à l'adresse;;;;;
187;Mail;;;;;
188;Mail envoyé à;;;;;
189;Mail pro;;;;;
190;Merci de compléter tous les champs;;;;;
191;Merci de noter que le fichier généré ne sera pas protégé par mot de passe;;;;;
192;Mes Collègues;;;;;
193;Message de la part de;;;;;
194;Message envoyé par SMS au;;;;;
195;Message ou titre du mail trop court;;;;;
196;Message trop court;;;;;
197;Mise à jour droit;;;;;
198;Modification;;;;;
199;Modification code lecture réalisée.;;;;;
200;Modification de votre code de lecture des fichiers;;;;;
201;Modification de votre mot de passe;;;;;
202;Modification Domiciliation;;;;;
203;Modification du mot de passe réalisée.;;;;;
204;Modification effectuée: votre code de lecture est désactivé.;;;;;
205;Modification mot de passe;;;;;
206;Modification nom/prenom/tel/mail par;;;;;
207;Modification organisme;;;;;
208;Modification tel;;;;;
209;Modifier;;;;;
210;Mot de passe;;;;;
211;Mot de passe 1ere connexion;;;;;
212;Mot de passe des comptes de formation initialisé;;;;;
213;Mot de passe incorrect;;;;;
214;Mot de passe par défaut;;;;;
215;N°;;;;;
216;Nationalité;;;;;
217;Ne créez une nouvelle structure qu'après avoir vérifié qu'elle n'est pas déjà enregistrée.;;;;;
218;Nom;;;;;
219;Nombre maximum (10) de référents atteint.;;;;;
220;Nombre maximum de fichiers atteind.;;;;;
221;Non utilisable dans un dossier;;;;;
222;Notes et SMS;;;;;
223;Nous contacter;;;;;
224;Nous vous contacterons dans les meilleurs délais.;;;;;
225;Nouveau;;;;;
226;Nouveau code de lecture;;;;;
227;Nouveau mot de passe;;;;;
228;Nouveau ticket;;;;;
229;Numero inconnu;;;;;
230;Ok;;;;;
231;Origine;;;;;
232;ou cliquez ;;;;;
233;Papier Administratif;;;;;
234;par;;;;;
235;Plusieurs comptes correspondent à cette référence;;;;;
236;Pour accèder à cette fonction il faut disposer d'un n° de téléphone portable;;;;;
237;pour accèder au fichier SANS code de lecture (non- recommandé);;;;;
238;Pour accepter et finaliser la création de votre compte sur 'Doc-depot.com', merci de cliquer sur ce;;;;;
239;Pour confirmer la génération d'un export, il vous faut saisir à nouveau votre mot de passe;;;;;
240;Pour faire une demande auprès du support de Doc-depot.com, merci de remplir le formulaire suivant;;;;;
241;Pour finaliser la création de votre compte, merci de compléter les informations ci-dessous :;;;;;
242;Pour lire le fichier, il est nécessaire d'utiliser des logiciels tels que ;;;;;
243;pour ouvrir le fichier avec code de lecture (recommandé);;;;;
244;Pour recevoir votre code de déverrouillage : ;;;;;
245;Pour récupérer votre identifiant;;;;;
246;Pour récupérer votre mot de passe, merci de compléter ce formulaire;;;;;
247;Prénom;;;;;
248;Prénom de la mére;;;;;
249;Prénom de votre mére;;;;;
250;Prénom de votre pére;;;;;
251;Prénom du pére;;;;;
252;Prio;;;;;
253;Priorité;;;;;
254;Profil;;;;;
255;Puis, elle vous communiquera votre code de déverouillage (mais elle ne connaitra pas votre mot de passe);;;;;
256;puisqu'en supprimant le compte l'ensemble des informations et contenu sera détruit et que cette action est irreversible.;;;;;
257;Rappel : votre identifiant est;;;;;
258;Rappel format mot de passe : Au minimum 8 caractères, au moins une majuscule, <br>une minuscule et un chiffre (caractères spéciaux possible);;;;;
259;Rappel: vous avez 5 jours pour la contacter en personne. Elle s'assurera de votre identité.;;;;;
260;Raz MdP;;;;;
261;Réception de document par mail autorisé pour la journée.;;;;;
262;Rédacteur;;;;;
263;Référents de confiance;;;;;
264;Réinitialisation de mot de passe;;;;;
265;Réinitialisation de votre mot de passe;;;;;
266;Réinitialisation Mot de passe avec code de déverrouillage;;;;;
267;Réinitilaition du mot de passe de;;;;;
268;Rendez-vous;;;;;
269;Rendre actif;;;;;
270;Rendre Inactif;;;;;
271;Renvoi mail de finalisation de compte;;;;;
272;Resp.:;;;;;
273;Responsable;;;;;
274;Responsables;;;;;
275;Responsables vis à vis de Doc-depot.com;;;;;
276;Retour à la page d'accueil.;;;;;
277;Saisissez les informations ci-dessous pour vérifier si la personne a déjà un compte.;;;;;
278;Se connecter;;;;;
279;Sélectionnez les fichiers à prendre en compte;;;;;
280;Si vous avez déjà reccueilli le code de déverrouillage, cliquez ici;;;;;
281;Si vous avez oublié votre identifiant, cliquez ici.;;;;;
282;Si vous avez oublié votre mot de passe, cliquez ici.;;;;;
283;Si vous avez oublié votre mot de passe, saisissez votre identifiant,<p> votre adresse mail ou numéro de téléphone.;;;;;
284;Si vous êtes un acteur social, merci de contacter votre responsable.;;;;;
285;Si vous êtes un bénéficiaire, merci de compléter ce formulaire;;;;;
286;Si vous êtes un responsable , merci de contacter l'administrateur de ce site (voir lien "Nous contacter" ci-dessous);;;;;
287;Si vous n'arrivez pas à la joindre et que vous voulez contacter un autre référent de confiance,;;;;;
288;Si vous voulez confimer la suppression du compte, il faut saisir à nouveau votre mot de passe;;;;;
289;Sigle;;;;;
290;Signalement document illicite;;;;;
291;Signalement transmis à l'administrateur;;;;;
292;Signaler un bug ou demander une évolution;;;;;
293;Soit directement en cliquant sur un choix ci-dessous;;;;;
294;Soit en contactant un référent de confiance.;;;;;
295;"Soit vous consultez maintenant le document : cliquez sur le lien et saisissez le code de lecture;";;;;;
296;"Soit vous enregistrer maintenant le fichier sur votre disque : clic droit sur le lien et faire 'enregistrer la cible du lien sous';";;;;;
297;"Soit vous imprimez maintenant le document : ouvrir le fichier en cliquant sur le lien, saisissez le code de lecture et faire 'Imprimer';";;;;;
298;Structure sociale;;;;;
299;Structure sociale déjà existante!;;;;;
300;Suppresion affectation;;;;;
301;Suppresion organisme;;;;;
302;Suppression compte;;;;;
303;Suppression de compte réalisée!;;;;;
304;Suppression du fichier;;;;;
305;Suppression impossible car compte protégé;;;;;
306;Suppression RDV le;;;;;
307;Suppression Référent de confiance;;;;;
308;Supprimer;;;;;
309;Supprimer accès;;;;;
310;Supprimer filtre;;;;;
311;Tel;;;;;
312;Tel pro;;;;;
313;Téléphone;;;;;
314;Texte;;;;;
315;Titre;;;;;
316;Tout exporter;;;;;
317;Type;;;;;
318;Un seul document par espace et utilisateur de la formation;;;;;
319;Un SMS ou mail a déjà été envoyé aujourd'hui.;;;;;
320;Utilisateur déja existant.;;;;;
321;Valeur;;;;;
322;Valider;;;;;
323;Valider création;;;;;
324;Valider la demande;;;;;
325;Vérification existence;;;;;
326;Vérifier;;;;;
327;Vérifier si bénéficiaire existe déjà;;;;;
328;Version;;;;;
329;Ville natale;;;;;
330;Voir le détail;;;;;
331;Voir saisie;;;;;
332;Vos coordonnées;;;;;
333;Vos nom et prénom;;;;;
334;Votre code de lecture est;;;;;
335;Votre code de lecture n'est pas défini;;;;;
336;votre demande;;;;;
337;Votre mot de passe;;;;;
338;Votre signalmement a été tansmis à l'administrateur du site.;;;;;
339;vous a créé un compte sur 'Doc-depot.com': ;;;;;
340;Vous avez demandé la réinitialisation de votre mot de passe mais un mail vous a déjà été envoyé aujourd'hui.;;;;;
341;Vous êtes déconnecté!;;;;;
342;Vous n'avez pas désigné de référent de confiance appartenant à une structure sociale, nous vous recommandons vivement d'en désigner un, voire plusieurs, pour vous permettre de récupérer votre mot de passe en cas de perte de ce dernier.;;;;;
343;Vous receverez dans quelques minutes un mail avec le code de déverrouillage.;;;;;
344;Vous receverez dans quelques minutes un SMS avec le code de déverrouillage.;;;;;
